name,URL,author,publisher,date,price,date,price,rate,comment
受戒,https://book.douban.com/subject/1760432/,汪曾祺 , 漓江出版社 , 1987-10 , 3.95元, 1987-10 , 3.95元,9.3,江南乡镇民间生活，健康淳朴的人性
王尔德童话,https://book.douban.com/subject/1119839/,[英] 王尔德 , 译林出版社 , 2003-6 , 6.00元, 2003-6 , 6.00元,9.1,一颗纯美纯善、永难泯灭的童心
时间简史,https://book.douban.com/subject/1034282/,[英] 史蒂芬·霍金 , 湖南科学技术出版社 , 2010-4 , 45.00元, 2010-4 , 45.00元,8.9,探索时间和空间的核心秘密
金色梦乡,https://book.douban.com/subject/5038409/,[日] 伊坂幸太郎 , 译林出版社 , 2010-9 , 35.00元, 2010-9 , 35.00元,9.0,伊坂幸太郎代表作
毛泽东选集 第一卷,https://book.douban.com/subject/1139360/,毛泽东 , 人民出版社 , 1991-6 , 40.00元, 1991-6 , 40.00元,9.6,空
克莱因壶,https://book.douban.com/subject/33658616/,[日]冈岛二人 , 化学工业出版社 , 2019-9 , 48.00元, 2019-9 , 48.00元,8.9,空
小径分岔的花园,https://book.douban.com/subject/25796120/,[阿根廷] 豪·路·博尔赫斯 , 上海译文出版社 , 2015-7 , 23.00, 2015-7 , 23.00,8.9,一个谜语，谜底正是时间
你当像鸟飞往你的山,https://book.douban.com/subject/33440205/,[美] 塔拉·韦斯特弗 , 南海出版公司 , 2019-10 , 59.00元, 2019-10 , 59.00元,8.7,我来自一个极少有人能想象的家庭，教育给了我新世界
十万个为什么,https://book.douban.com/subject/2160556/,少年儿童出版社 ,少年儿童出版社 , 1962 , 30.00元, 1962 , 30.00元,9.1,空
茶馆,https://book.douban.com/subject/1036613/,老舍 , 人民文学出版社 , 2002-1 , 9.80元, 2002-1 , 9.80元,9.1,清末、民初、抗战胜利以后三个历史时期的北京生活风貌
昨日的世界,https://book.douban.com/subject/1062343/,[奥] 斯蒂芬·茨威格 , 广西师范大学出版社 , 2004-5-1 , 32.00元, 2004-5-1 , 32.00元,9.2,一个高贵而残破的昨日镜像
人间草木,https://book.douban.com/subject/1253310/,汪曾祺 , 江苏文艺出版社 , 2005-01 , 20.00元, 2005-01 , 20.00元,9.2,我就是要这样香，香得痛痛快快
故事,https://book.douban.com/subject/25976544/,[美] 罗伯特·麦基 , 天津人民出版社 , 2014-9 , 68.00元, 2014-9 , 68.00元,9.2,材质、结构、风格和银幕剧作的原理
绿毛水怪,https://book.douban.com/subject/3518332/,王小波 , 时代文艺出版社 , 2009-1 , 30.00元, 2009-1 , 30.00元,9.1,我们好象在池塘的水底，从一个月亮走向另一个月亮
面纱,https://book.douban.com/subject/10560798/,(英)W.萨默塞特·毛姆 , 重庆出版社 , 2012-05-01 , 32.00元, 2012-05-01 , 32.00元,8.8,揭去生活的面纱
少年凯歌,https://book.douban.com/subject/1091203/,陈凯歌 , 人民文学出版社 , 2001-6 , 10.00元, 2001-6 , 10.00元,9.3,空
一个陌生女人的来信,https://book.douban.com/subject/2154960/,[奥] 斯蒂芬·茨威格 , 上海译文出版社 , 2007-7 , 20.00元, 2007-7 , 20.00元,8.7,暗恋的极致
海的女儿,https://book.douban.com/subject/1765512/,安徒生 , 上海译文出版社 , 1978年6月 , 0.43, 1978年6月 , 0.43,9.1,空
我的天才女友,https://book.douban.com/subject/26878124/,[意] 埃莱娜·费兰特 , 人民文学出版社 , 2017-1 , 42.00元, 2017-1 , 42.00元,8.7,“那不勒斯四部曲”第一部，两个女人，50年的友谊和战争
经济学原理（上下）,https://book.douban.com/subject/1028842/,[美] 曼昆 , 机械工业出版社 , 2003-8 , 88.00元, 2003-8 , 88.00元,9.1,经济学家们的世界观
遥远的向日葵地,https://book.douban.com/subject/27184303/,李娟 , 花城出版社 , 2017-11 , 38.00元, 2017-11 , 38.00元,9.1,空
长日将尽,https://book.douban.com/subject/30142261/,[英] 石黑一雄 , 上海译文出版社 , 2018-5 , 48, 2018-5 , 48,8.9,空
